HIGH,TRD_DT,CHG,SECU_CODE,VOLUME,TURN,PRE_CLOSE,LOW,SWING,CLOSE,ADJ_TYPE,PCT_CHG,OPEN,AMT
3.4507,19961125,0.59,000005.SZE,199018.0,15.7996,3.2889,3.2274,0.0679,3.4335,before,4.4030000000000005,3.3385,274696663.6
3.5468,19961126,0.01,000005.SZE,158767.0,12.6042,3.4335,3.3137,0.0679,3.4367,before,0.0715,3.5101,221162752.1
3.4367,19961127,-0.6,000005.SZE,99352.0,7.8873,3.4367,3.2349,0.0586,3.2889,before,-4.2857,3.4367,135171733.6
3.3752,19961128,-0.2,000005.SZE,47404.0,3.7633,3.2889,3.1907,0.055999999999999994,3.2403,before,-1.4925,3.1907,63349357.8
3.3137,19961129,0.0,000005.SZE,73334.0,5.8218,3.2403,3.1044,0.0644,3.2403,before,0.0,3.2403,96351401.9
3.3137,19961202,0.23,000005.SZE,58563.0,4.6492,3.2403,3.1864,0.0394,3.2964,before,1.7424,3.2846,77270092.7
3.4853,19961203,0.68,000005.SZE,82664.0,6.5625,3.2964,3.2403,0.0745,3.4637,before,5.0633,3.3137,113072718.2
3.5586,19961204,-0.11,000005.SZE,122457.0,9.7216,3.4637,3.3871,0.0496,3.4367,before,-0.7796,3.5349,173761770.7
3.4853,19961205,-0.05,000005.SZE,75702.0,6.0098,3.4367,3.3504,0.0393,3.4238,before,-0.3571,3.4367,105247276.0
3.5101,19961206,0.05,000005.SZE,88437.0,7.0208,3.4238,3.3871,0.0358,3.4367,before,0.3584,3.4367,124087942.3
3.5219,19961209,0.1,000005.SZE,80816.0,6.4158,3.4367,3.4119,0.0321,3.4604,before,0.7143,3.4734,113953319.8
3.4604,19961210,-0.33,000005.SZE,53886.0,4.2779,3.4604,3.3504,0.0319,3.3795,before,-2.3404,3.4604,74487478.5
3.4637,19961211,0.1,000005.SZE,56794.0,4.5088,3.3795,3.3256,0.0407,3.4043,before,0.7262,3.3623,78835975.1
3.6816,19961212,0.78,000005.SZE,213047.0,16.9133,3.4043,3.3871,0.0865,3.5953,before,5.6236,3.4367,309015750.7
3.6719,19961213,-0.8,000005.SZE,143462.0,11.3891,3.5953,3.3655,0.0853,3.3989,before,-5.4608,3.5446,205369230.4
